expect,opencode,opentime,num1,num2,num3,sum,rolling_sum_mean,rolling_sum_median,lag1_sum,diff1,diff2,sum_mod3,last_digit,sum_digits,parity_last_digit,parity_sum_digits,odd_even_1,big_small_1,lag1_odd_even_1.0,lag1_big_small_1.0
3259702,"3,5,3",2025-03-10 23:38:00,3,5,3,-0.5032273541255321,-0.8704581568663444,-0.725368911995356,-0.503234131662102,-0.4979826203395315,0.498370262212261,1.2275276862026263,1,2,1.0004820318753394,-1.0215867924320956,1.0,0.0,0.0,0.0
3259701,"8,7,9",2025-03-10 23:34:30,8,7,9,2.106788749181681,1.3868356623055629,1.153354971993838,-0.503234131662102,0.2411852532593096,-0.4860681560654292,-1.2220526493505015,4,6,-0.9995182003674412,-1.0215867924320956,0.0,1.0,1.0,0.0
3259700,"6,1,2",2025-03-10 23:31:00,6,1,2,-0.9047682930958724,0.4028870744613979,-0.725368911995356,2.1067911672967665,1.2267424180577644,-0.2399585514960066,-1.2220526493505015,9,9,1.0004820318753394,0.9788693505123496,1.0,0.0,0.0,1.0
3259699,"8,0,2",2025-03-10 23:27:30,8,0,2,-0.7039978236107023,0.2871284170679672,-1.0144033556860013,-0.9047764853480816,1.9659102916566056,-0.4860681560654292,0.0027375184260624,0,1,-0.9995182003674412,0.9788693505123496,0.0,0.0,1.0,0.0
3259698,"2,6,3",2025-03-10 23:24:00,2,6,3,-0.5032273541255321,-1.217734129046638,-1.0144033556860013,-0.7040053085050918,-0.9907612027387588,0.7444798667816835,1.2275276862026263,1,2,1.0004820318753394,-1.0215867924320956,1.0,0.0,0.0,0.0
3259697,"1,8,3",2025-03-10 23:20:30,1,8,3,-0.3024568846403618,-0.8704581568663444,-0.725368911995356,-0.503234131662102,-1.7299290763376,1.2366990759205287,-1.2220526493505015,2,3,-0.9995182003674412,0.9788693505123496,0.0,0.0,1.0,0.0
3259696,"3,2,0",2025-03-10 23:17:00,3,2,0,-1.7078501710365537,-1.4492514438335,-0.725368911995356,-0.302462954819112,0.2411852532593096,0.498370262212261,1.2275276862026263,5,5,1.0004820318753394,0.9788693505123496,1.0,0.0,0.0,0.0
3259695,"2,0,6",2025-03-10 23:13:30,2,0,6,-1.1055387625810429,-1.7965274160137934,-1.5924722430672915,-1.707861192720041,0.4875745444589233,-1.4705065743431196,1.2275276862026263,8,8,-0.9995182003674412,-1.0215867924320956,0.0,0.0,1.0,0.0
3259694,"9,0,3",2025-03-10 23:10:00,9,0,3,-0.3024568846403618,-1.7965274160137934,-1.5924722430672915,-1.1055476621910716,2.2122995828562195,-0.7321777606348518,-1.2220526493505015,2,3,-0.9995182003674412,0.9788693505123496,0.0,0.0,0.0,0.0
3259693,"0,8,1",2025-03-10 23:06:30,0,8,1,-0.9047682930958724,-1.3334927864400692,-1.3034377993766464,-0.302462954819112,-1.9763183675372136,1.7289182850593738,-1.2220526493505015,9,9,1.0004820318753394,0.9788693505123496,1.0,0.0,0.0,0.0
3259705,"7,2,2",2025-03-10 23:48:30,7,2,2,-0.5032273541255321,-0.8704581568663444,-0.725368911995356,-0.503234131662102,1.2267424180577644,0.0061510530734158,1.2275276862026263,1,2,1.0004820318753394,-1.0215867924320956,1.0,0.0,1.0,0.0
3259704,"4,1,6",2025-03-10 23:45:00,4,1,6,-0.5032273541255321,-0.8704581568663444,-0.725368911995356,-0.503234131662102,0.7339638356585371,-1.224396969773697,1.2275276862026263,1,2,1.0004820318753394,-1.0215867924320956,1.0,0.0,1.0,0.0
3259703,"2,9,1",2025-03-10 23:41:30,2,9,1,-0.3024568846403618,-0.7546994994729131,-0.725368911995356,-0.503234131662102,-1.7299290763376,1.9750278896287967,-1.2220526493505015,2,3,-0.9995182003674412,0.9788693505123496,0.0,0.0,1.0,0.0
3259702,"3,5,3",2025-03-10 23:38:00,3,5,3,-0.5032273541255321,-0.7546994994729131,-0.725368911995356,-0.302462954819112,-0.4979826203395315,0.498370262212261,1.2275276862026263,1,2,1.0004820318753394,-1.0215867924320956,1.0,0.0,0.0,0.0
3259701,"8,7,9",2025-03-10 23:34:30,8,7,9,2.106788749181681,0.7501630466416913,-0.4363344683047108,-0.503234131662102,0.2411852532593096,-0.4860681560654292,-1.2220526493505015,4,6,-0.9995182003674412,-1.0215867924320956,0.0,1.0,1.0,0.0
